,video,description
0,mixkit-old-steam-train-approaching-15994.mp4,Old steam train approaching
0,mixkit-delivering-a-package-to-the-door-of-a-house-31155.mp4,"A young mailman, uniformed in a blue shirt and cap, rings a house bell, the door is opened and a box is delivered to the recipient."
0,mixkit-mechanic-pouring-oil-into-an-engine-41937.mp4,Hands of a mechanic in his workshop working on a motorcycle while pouring oil into the motorcycle machine.
0,mixkit-brooklyn-bridge-with-car-traffic-4086.mp4,View of the brooklyn bridge with car traffic passing underneath and the new york city skyline in the background on a clear day
0,mixkit-panoramic-view-of-barcelona-at-night-4066.mp4,Time lapse of a panoramic view of barcelona at night with a statue and buildings in the background. View from Monte Jiuc.
0,mixkit-full-shot-of-an-airplane-taking-off-the-track-7034.mp4,Full shot of an airplane taking off the track
0,mixkit-speeding-down-a-highway-in-point-of-view-44659.mp4,"Speeding down a highway lined by large rock formations with lots of vegetation, during a cloudy afternoon, in a point-of-view shot."
0,mixkit-flying-over-a-cargo-ship-leaving-a-port-35869.mp4,Flying over a cargo ship leaving a port
0,mixkit-cargo-ship-sailing-in-the-sea-35347.mp4,Cargo ship sailing in the sea
0,mixkit-freight-truck-arriving-at-the-warehouse-23011.mp4,Freight truck arriving at the warehouse
0,mixkit-train-view-in-slow-motion-7326.mp4,Train view in slow motion
0,mixkit-speedy-point-of-view-tour-of-a-highway-44655.mp4,"Fast drive, from a point of view, on a highway surrounded by abundant vegetation and trees, on a cloudy afternoon."
0,mixkit-subway-cars-departing-from-an-underground-station-40672.mp4,"Subway cars full of people departing from an underground station, while gradually accelerating."
0,mixkit-panorama-from-the-window-of-an-airplane-at-dusk-40102.mp4,"Panorama from an airplane window at dusk, with land and a lake below, and the airplane wing to one side."
0,mixkit-wide-container-area-on-a-cargo-ship-shoreline-36363.mp4,Wide container area on a cargo ship shoreline
0,mixkit-fast-journey-in-the-dubai-metro-28676.mp4,Fast journey in the Dubai metro
0,mixkit-commuters-at-new-yorks-grand-central-station-4180.mp4,Central station with people walking in it. Crowds of commuters at New York's grand central station.
0,mixkit-worker-leading-a-freight-truck-in-the-parking-23174.mp4,Worker leading a freight truck in the parking
0,mixkit-top-aerial-shot-of-a-cargo-ship-sailing-in-sea-35454.mp4,Top aerial shot of a cargo ship sailing in sea
0,mixkit-speedometer-of-a-motorcycle-41943.mp4,"Speedometer of a motocross motorcycle in a very close shot, while accelerating."
0,mixkit-bike-ride-as-a-couple-through-the-streets-of-a-41884.mp4,"Bike ride as a couple through the sunny streets of a quiet city, full of trees and small buildings."
0,mixkit-3d-sports-car-racing-on-a-flat-land-34028.mp4,3D sports car racing on a flat land
0,mixkit-point-of-view-traveling-very-fast-on-a-highway-44658.mp4,"Point of view traveling very fast on a highway, outlined by rock formations covered with trees and vegetation, on a cloudy day."
0,mixkit-man-doing-the-check-in-for-the-flight-23465.mp4,Man doing the check-in for the flight
0,mixkit-subway-line-arriving-at-an-underground-station-40671.mp4,"Metro line full of people arriving at an underground station, gradually slowing down."
0,mixkit-couple-walking-with-bicycles-on-the-sidewalk-41873.mp4,"Couple walking with bicycles on the sidewalk of a city, after a bike ride."
0,mixkit-busy-city-highway-at-night-20188.mp4,Busy city highway at night
0,mixkit-dusk-from-the-boarding-area-of-an-airport-36351.mp4,Dusk from the boarding area of ​​an airport
0,mixkit-chairs-of-a-cable-car-in-a-canadian-forest-3363.mp4,"Chairs of a cable car moving in a snowy forest, with a hill in the background and the full moon in the sky."
0,mixkit-airplane-take-off-during-the-day-7031.mp4,Airplane take off during the day
0,mixkit-colored-lights-of-cars-in-a-video-out-of-focus-44696.mp4,"Moving and flashing colored lights from the headlights of many cars crossing an avenue at night, in an out-of-focus video."
0,mixkit-white-car-lights-in-a-defocused-view-44692.mp4,"Moving white lights from the headlights of many cars on a street at night, in a defocused view, through a wire fence."
0,mixkit-point-of-view-in-a-car-traveling-on-the-highway-44656.mp4,"Point of view in a car traveling fast on the road, on a sunny day, with a lot of vegetation and trees around."
0,mixkit-aerial-view-of-highway-bridge-along-mountain-ridge-8612.mp4,Aerial view of highway bridge along mountain ridge
0,mixkit-turbines-in-motion-in-the-plane-7030.mp4,Turbines in motion in the plane
0,mixkit-window-view-of-an-airplane-landing-in-the-airport-7024.mp4,Window view of an airplane landing in the airport
0,mixkit-walking-a-wide-path-very-close-to-the-pavement-39940.mp4,"Traveling a wide, flat path very close to the pavement, overlooking the horizon outlined by hills in the distance, on a clear sunny day."
0,mixkit-train-in-movement-leaving-the-tracks-behind-25002.mp4,Train in movement leaving the tracks behind
0,mixkit-old-steam-train-starts-to-move-17791.mp4,Old steam train starts to move
0,mixkit-out-of-focus-view-to-a-large-avenue-at-night-44704.mp4,"Out of focus view of a large avenue, with the intense white, yellow and red lights of car headlights, during the dark of night."
0,mixkit-abstract-timelapse-of-cars-in-an-avenue-at-dusk-44691.mp4,"Summary timelapse of an avenue at dusk, while cars pass by very quickly, in a vertical video with a distorted effect."
0,mixkit-airport-runway-4389.mp4,"Airport on a sunny day, staff and cars with luggage go from one side to another, one of the parked planes leaves that area."
0,mixkit-couple-walking-with-bicycles-through-a-sunny-park-41876.mp4,"Woman walking with a man in a park after a bike ride, in a sunny park."
0,mixkit-tokyo-train-station-traffic-20066.mp4,Tokyo train station traffic
0,mixkit-a-passenger-plane-flying-in-the-clear-sky-13279.mp4,A passenger plane flying in the clear sky
0,mixkit-airplane-crossing-the-cloudy-sky-7140.mp4,Airplane crossing the cloudy sky
0,mixkit-colored-lights-in-the-dark-in-an-out-of-focus-44697.mp4,"Lots of blue, green and orange colored lights slowly moving in the dark, up and down, in the dark, out of focus video."
0,mixkit-inside-a-bus-with-a-few-people-42570.mp4,"Inside view of a bus traveling at night, illuminated with colored neon light bars, with a few people traveling."
0,mixkit-multicolored-hot-air-balloon-is-seen-from-below-4055.mp4,"Multicolored hot air balloon is seen from below, in the background a cloudless blue sky"
0,mixkit-fast-traveling-on-a-motorbike-on-a-highway-39916.mp4,"Person speeding on the road with his motorcycle, in a close shot towards the motorcycle, on a sunny afternoon."
0,mixkit-postman-delivering-envelopes-to-a-person-at-home-31137.mp4,"The delivery man asks the receiver to sign on a tablet at the entrance of his house, and then gives him a couple of envelopes."
0,mixkit-traveling-fast-on-a-highway-point-of-view-44657.mp4,"Traveling fast on a highway surrounded by arid vegetation, hills and trees, in a point-of-view shot on a cloudy day."
0,mixkit-three-models-posing-to-the-lens-while-on-board-a-42575.mp4,"Portrait of two urban girls and a boy posing to the lens while on board a bus at night, illuminated with colored lights."
0,mixkit-arriving-at-a-workshop-full-of-motorcycles-41941.mp4,Motorcyclist arriving at a workshop full of motorcycles with the headlights on.
0,mixkit-close-up-view-of-parked-motorcycles-in-a-workshop-41925.mp4,"Close-up view of motorcycles parked in a workshop, with helmets and other motocross gear on a shelf behind."
0,mixkit-hot-air-balloon-rising-4054.mp4,"Hot air balloon with warm colors is rising in the air, in the background another white balloon and a blue sky without clouds"
0,mixkit-man-in-his-living-room-finishes-packing-a-box-to-31218.mp4,"Young man in the living room of his house with a window behind finishing packing books in a cardboard box with tape, to take it to be sent by parcel."
0,mixkit-parcel-delivery-man-making-a-confident-gesture-31139.mp4,"Parcel clerk slowly approaching with a package on his shoulder, he stops, smiles, and raises his fist with his thumb up, in a gesture of confidence."
0,mixkit-airplane-crossing-the-clear-blue-sky-7478.mp4,Airplane crossing the clear blue sky
0,mixkit-urban-girl-through-the-window-of-a-bus-42584.mp4,Urban conceptual style girl is seen through the window of a bus waiting and looking outside.
0,mixkit-camper-van-in-the-sahara-desert-at-night-4041.mp4,Camper van in the desert at night with moving stars in the background
0,mixkit-cranes-working-on-unloading-dock-4012.mp4,"A cargo ship is being unloaded at the docks by large blue cranes, in the background the blue sky"
0,mixkit-port-with-boats-ships-buildings-and-containers-36342.mp4,"Port with boats, ships, buildings and containers"
0,mixkit-cargo-ship-sailing-at-dusk-35447.mp4,Cargo ship sailing at dusk
0,mixkit-delivery-man-looking-for-an-address-on-the-street-31136.mp4,"Parcel clerk in a cap and red shirt, walking down the street with a box in his hand, looking for an address with the help of his cell phone."
0,mixkit-worker-between-two-freight-trucks-smiling-23549.mp4,Worker between two freight trucks smiling
0,mixkit-rear-view-of-airplane-landing-7023.mp4,Rear view of airplane landing
0,mixkit-out-of-focus-view-of-car-lights-at-night-44702.mp4,Out of focus view of many white and red colored lights from moving cars traveling down an avenue at night.
0,mixkit-defocused-view-of-an-avenue-at-night-44694.mp4,"Defocused vertical video of a large avenue during the darkness of the night, with the moving white and red lights of the cars."
0,mixkit-cars-and-trucks-crossing-on-a-highway-in-nature-44284.mp4,"Cars and trucks crossing a highway in nature, among trees and vegetation, on a sunny day, in an aerial shot."
0,mixkit-large-buildings-from-the-window-of-a-train-3473.mp4,"City of tall buildings seen from the window of a moving train, during a sunny afternoon."
0,mixkit-cyclist-riding-down-street-194.mp4,A man dressed in blue shirt and dark pants rides his bicycle on a sunny day. He crosses a bridge with trees and green grass in the background.
0,mixkit-flyover-of-tall-mountain-highway-along-river-8608.mp4,Flyover of tall mountain highway along river
0,mixkit-airplane-with-lights-on-takes-off-7036.mp4,Airplane with lights on takes off
0,mixkit-many-colored-lights-in-an-out-of-focus-view-44695.mp4,"Lots of blue, white and yellow colored lights slowly moving up and down in the dark, in an out of focus view."
0,mixkit-man-maintaining-a-motorcycle-41935.mp4,"Man maintaining a motorcycle, switching the oil, inside a mechanical workshop."
0,mixkit-handlebars-of-a-motorcycle-in-a-mechanical-workshop-41932.mp4,"Handlebar of a motorcycle in a mechanic shop, in a close-up shot that goes down slowly."
0,mixkit-many-motorcycles-parked-in-a-row-in-a-garage-41927.mp4,View of many motorcycles parked in a row on a slow drive through the interior of a garage.
0,mixkit-bike-ride-in-the-neighbourhood-41872.mp4,"Bike ride of a couple through a quiet neighborhood, with houses, cars and trees everywhere."
0,mixkit-passenger-train-traveling-between-the-streets-of-a-city-40912.mp4,"Passenger train traveling between the streets of a small town, on a sunny day, with cars and people."
0,mixkit-port-of-huge-cargo-ships-from-above-36353.mp4,Port of huge cargo ships from above
0,mixkit-old-steam-train-arriving-to-the-station-28797.mp4,Old steam train arriving to the station
0,mixkit-road-windshield-wipers-14452.mp4,Road windshield wipers
0,mixkit-aerial-view-of-a-beautiful-seashore-10332.mp4,Top view of the coast of a virgin beach with the waves of the turquoise blue sea reaching the sand and with a thick fauna on the beach.
0,mixkit-electric-towers-from-a-train-in-motion-7459.mp4,Electric towers from a train in motion
0,mixkit-urban-trendy-models-on-a-bus-42577.mp4,"Urban style fashion models pose in the seats of a bus without passengers and with neon lighting, conceptual shot."
0,mixkit-detailed-view-to-the-handlebar-of-a-motorcycle-41948.mp4,"Detailed view of the handlebar of a motorcycle, inside a garage or workshop."
0,mixkit-mechanic-changing-the-oil-of-a-motorcycle-41936.mp4,"Mechanic changing the oil of a motorcycle serving with the help of a funnel, in a mechanical workshop."
0,mixkit-young-woman-walking-with-her-bicycle-41885.mp4,"Young woman walking with her bicycle, on the sidewalk of a quiet neighborhood, on a sunny day, surrounded by buildings, trees and cars."
0,mixkit-slowly-peering-out-of-an-airplane-window-40101.mp4,"Shot by slowly leaning out of an airplane window, revealing the ground below and the airplane's wing."
0,mixkit-tourist-ferries-arriving-at-the-port-4004.mp4,Time lapse of a port with tourist ferries and boats in Instanbul with the city buildings in the background.
0,mixkit-cargo-ship-port-seen-from-above-36264.mp4,Cargo ship port seen from above
0,mixkit-cargo-trucks-in-the-warehouse-parking-lot-31664.mp4,Cargo trucks in the warehouse parking lot
0,mixkit-city-traffic-and-train-station-in-japan-20085.mp4,City traffic and train station in japan
0,mixkit-abstract-video-of-out-of-focus-lights-in-a-prism-44698.mp4,"Abstract video of out of focus lights of many colors purple, lilac and orange, moving in a prism of mirrors in symmetry."
0,mixkit-aerial-shot-of-a-long-highway-that-crosses-the-nature-44288.mp4,"Aerial shot of a long highway that cuts through nature during a sunny day, as the shot slowly descends, and a school bus and other cars cross from side to side."
0,mixkit-close-up-shot-of-a-motorcycle-engine-in-a-workshop-41929.mp4,"Close-up shot of a motorcycle engine in a workshop, while it is being drained of oil during a repair."
0,mixkit-cyclists-going-through-an-avenue-41889.mp4,Aerial shot of an avenue in the middle of a city with many trees and with cyclists going through the empty street of cars.
0,mixkit-flying-over-a-long-highway-with-cars-and-trucks-39943.mp4,"Aerial tour of a long highway with cars and cargo trucks, in the middle of a wide plain surrounded by large hills, during a sunny afternoon."
0,mixkit-girl-in-a-car-giving-directions-to-the-driver-36439.mp4,Girl in a car giving directions to the driver
0,mixkit-man-loading-packages-on-dolly-31998.mp4,Man working in parcel service loading packages on the dolly outside the customer's home.
0,mixkit-courier-worker-preparing-boxes-on-a-loading-truck-31346.mp4,"Young courier worker sealing a box with duct tape, while placing it on a dolly."
0,mixkit-parcel-clerk-with-a-package-on-a-dolly-31138.mp4,"Parcel delivery man with shorts, a cap and a blue shirt, arriving at the entrance of a house with a large box on a loading dolly."
0,mixkit-containers-for-transporting-goods-in-the-port-30398.mp4,Containers for transporting goods in the port
0,mixkit-detailed-aerial-shot-of-the-judge-pregerson-highway-27124.mp4,Detailed aerial shot of the Judge Pregerson Highway
0,mixkit-engine-and-gear-of-airplane-close-up-7032.mp4,Engine and gear of airplane close up
0,mixkit-conceptual-video-of-colored-lights-out-of-focus-44700.mp4,"Defocused shot of moving green, white and red lights, in a conceptual video with a prism with mirrors in symmetry."
0,mixkit-white-and-red-car-lights-in-a-defocused-shot-44693.mp4,"White and red lights of the cars that cross an avenue during the night, in an out of focus shot, through a wire fence."
0,mixkit-girl-vaguely-dancing-sitting-on-a-bus-42588.mp4,Far view of a girl with urban style dancing vaguely while sitting on a bus.
0,mixkit-urban-girl-with-a-chewing-gum-42587.mp4,Face of an urban style girl while chewing gum sitting on a bus.
0,mixkit-close-up-view-of-a-motocross-motorcycle-41946.mp4,"Close-up view of a motocross motorcycle, in a shot that goes through it slowly, revealing its mechanics."
0,mixkit-mechanic-maintaining-a-motorcycle-engine-41934.mp4,"Mechanic maintaining a motorcycle engine, closing a container, during an oil change."
0,mixkit-professional-mechanic-fixing-a-motorcycle-41933.mp4,Professional mechanic fixing a motorcycle in a workshop in a nearby outlet.
0,mixkit-mechanic-repairing-a-motorcycle-engine-41928.mp4,"Hands of a mechanic repairing a motorcycle engine, draining the oil by removing a plug."
0,mixkit-skilled-cyclist-doing-a-wheelie-on-a-bicycle-41894.mp4,Skilled cyclist walking facing the camera while wheeling his bike through a sunny city park.
0,mixkit-boy-and-girl-zigzagging-during-a-bike-ride-41888.mp4,Boy and girl zigzagging during a couple bike ride in a sunny park.
0,mixkit-aerial-view-of-a-path-in-a-park-with-sportsmen-41882.mp4,"Aerial view of a path in a sunny park with many athletes cycling, rollerblading, jogging or walking."
0,mixkit-aerial-walk-along-a-path-in-a-sunny-park-41877.mp4,"Aerial walk along a path in a sunny park, with people walking and cycling, surrounded by trees and grass."
0,mixkit-aerial-view-of-a-road-that-crosses-through-nature-41389.mp4,"Aerial view of a road with cars and trailers that crosses through nature, fields of crops and hills covered with trees."
0,mixkit-urban-subway-aerial-tilt-down-40910.mp4,"Aerial panorama of a town with small buildings, cars and a passenger train that crosses it."
0,mixkit-orange-hot-air-balloon-flying-4056.mp4,Orange hot air balloon seen from below is flying in the blue sky without clouds
0,mixkit-bottom-view-of-a-hot-air-balloon-4050.mp4,View from below of a yellow hot air balloon while flying in the air. Blue sky in the background
0,mixkit-people-getting-off-the-ski-lift-4018.mp4,People going down the ski lift on top of the mountain with a cloudless blue sky
0,mixkit-following-a-cargo-ship-sailing-35857.mp4,Following a cargo ship sailing
0,mixkit-helicopter-taking-off-from-the-desert-35159.mp4,Helicopter taking off from the desert
0,mixkit-large-passenger-plane-flying-in-the-sky-34044.mp4,Large passenger plane flying in the sky
0,mixkit-loading-a-cargo-truck-22983.mp4,Loading a cargo truck
0,mixkit-short-train-in-the-countryside-22379.mp4,Short train in the countryside
0,mixkit-top-view-towards-the-sea-from-the-side-of-a-19186.mp4,Top view towards the sea from the side of a sailing ship
0,mixkit-containers-in-a-trading-port-12442.mp4,Containers in a trading port
0,mixkit-aerial-view-of-elevated-highway-on-austrian-mountain-valley-8607.mp4,Aerial view of elevated highway on Austrian mountain valley
0,mixkit-aerial-view-of-highway-around-forested-mountain-8606.mp4,Aerial view of highway around forested mountain
0,mixkit-airplane-moving-on-a-clear-day-7146.mp4,Airplane moving on a clear day
0,mixkit-airplane-landing-in-slow-motion-in-a-yellow-sky-7144.mp4,Airplane landing in slow motion in a yellow sky
0,mixkit-cars-drive-through-the-highway-7041.mp4,Cars drive through the highway
0,mixkit-highway-crossing-a-hill-in-an-aerial-view-44286.mp4,"Aerial view of a double highway with a return, which surrounds a hill covered by trees and vegetation, on a sunny day."
0,mixkit-aerial-panorama-around-a-highway-44285.mp4,"Aerial panorama around a highway that crosses between nature on a sunny day, surrounded by trees and abundant vegetation."
0,mixkit-aerial-shot-of-a-highway-in-nature-44282.mp4,"Aerial shot of a highway that crosses an ecosystem covered by abundant trees and vegetation, on a hot and sunny day."
0,mixkit-plane-arriving-to-an-airport-terminal-4367.mp4,"Shot of a red plane arriving at the Zurich terminal on an afternoon covered in clouds, while the access walkway is placed."
0,mixkit-urban-model-eating-an-apple-42585.mp4,Urban model with curvy black hair eating an apple inside a neon-lit passenger bus.
0,mixkit-motocross-bikes-in-a-close-shot-41945.mp4,"Close-up view on a slow ride to a pair of motocross bikes in a close-up shot, in a workshop."
0,mixkit-motorcyclist-in-a-workshop-full-of-motorcycles-41940.mp4,A motorcyclist on his motorcycle facing a workshop full of motorcycles.
0,mixkit-man-setting-off-on-a-big-motorcycle-41938.mp4,Man slowly leaving a garage on a huge orange motorcycle.
0,mixkit-mechanisms-of-a-motorcycle-in-a-workshop-41926.mp4,"Close-up view of the mechanisms of a motorcycle in a workshop, in a slow journey from tire to tire."
0,mixkit-boy-does-a-wheelie-on-a-bike-in-a-park-41895.mp4,"Young cyclist doing a wheelie on a bike in a sunny park, in a vertical video."
0,mixkit-boy-and-girl-resting-after-a-bike-ride-41887.mp4,"Boy and girl resting after a bike ride, talking and laughing sitting on a sidewalk in the street."
0,mixkit-bikes-of-a-couple-on-a-sunny-day-41881.mp4,A couple's bicycles during a walk in a park on a sunny day.
0,mixkit-man-cycling-down-a-street-in-a-city-41878.mp4,"Man on a bicycle zigzagging down the sidewalk of a street in a big city, in a profile view."
0,mixkit-couple-having-a-bike-ride-41869.mp4,"Man and woman having a ride on bicycles, on the sidewalk of a quiet town."
0,mixkit-view-from-the-top-of-a-train-crossing-between-streets-40915.mp4,"View from the top of a subway crossing between two streets in a city, with some cars and motorcycles, on a sunny afternoon."
0,mixkit-subway-through-the-city-aerial-view-40911.mp4,"Passenger train crossing between the streets of a small town, on a sunny afternoon, seen an aerial shot."
0,mixkit-crossing-of-streets-and-roads-in-the-city-in-an-40793.mp4,"Movement at a crossroads of streets, roads and the passenger subway line in the city in an aerial shot."
0,mixkit-aerial-panorama-in-a-city-from-a-train-station-40792.mp4,Passenger train arriving at a station in a huge city in an aerial shot.
0,mixkit-train-carriages-moving-forward-in-a-city-at-sunset-40720.mp4,Pink sunset in a city as a wagon train crosses the tracks in front of an apartment building.
0,mixkit-young-man-with-mask-traveling-by-subway-with-his-cellphone-40670.mp4,"Young man with a mask traveling on the subway, sending messages on his cell phone, on a sunny day seen through the window."
0,mixkit-passenger-train-traveling-on-the-tracks-crossing-the-city-40659.mp4,"Train tracks that cross the city between two avenues, when the electric passenger train passes."
0,mixkit-hot-air-balloon-and-fire-flames-4052.mp4,"Yellow hot air balloon is being inflated by flames of fire, a red balloon and the sky in the background"
0,mixkit-sunset-seen-from-a-pacific-coast-40098.mp4,"Sunset seen from a peaceful port with mountains, buildings and many boats, sailboats and yachts."
0,mixkit-young-woman-starting-a-jeep-40036.mp4,"Young woman starting a Jeep truck, in a shot close to her hand, seen from behind."
0,mixkit-hot-air-balloons-getting-ready-to-take-off-4002.mp4,Hot air balloons of various colors are inflated in quick motion
0,mixkit-girl-in-the-back-seat-of-a-car-texting-36440.mp4,"Girl in the back seat of a car, texting"
0,mixkit-highway-with-cars-and-trucks-during-a-sunny-day-36374.mp4,Highway with cars and trucks during a sunny day
0,mixkit-construction-of-a-building-on-a-coast-36265.mp4,Construction of a building on a coast
0,mixkit-movement-of-a-coastline-of-cargo-ships-36263.mp4,Movement of a coastline of cargo ships
0,mixkit-boats-floating-on-a-shoreline-seen-from-a-window-35898.mp4,Boats floating on a shoreline seen from a window
0,mixkit-cargo-ship-seen-from-top-35470.mp4,Cargo ship seen from top
0,mixkit-top-aerial-shot-of-a-crossroad-35439.mp4,Top aerial shot of a crossroad
0,mixkit-view-from-the-bow-of-a-boat-while-sailing-35381.mp4,View from the bow of a boat while sailing
0,mixkit-open-sea-with-cargo-ships-and-boats-34293.mp4,Open sea with cargo ships and boats
0,mixkit-cargo-ship-sailing-from-a-coast-seen-from-the-air-34288.mp4,Cargo ship sailing from a coast seen from the air
0,mixkit-walking-along-a-road-in-a-park-on-a-sunny-34202.mp4,Walking along a road in a park on a sunny day
0,mixkit-man-delivering-a-package-to-a-girl-31999.mp4,Man delivering a package to a girl at the door of his house.
0,mixkit-cargo-ship-crossing-the-city-river-31677.mp4,Cargo ship crossing the city river
0,mixkit-woman-at-the-door-of-her-house-receives-a-parcel-31297.mp4,"Young woman at the door of her house gives a digital signature to a delivery man, while he hands her a box and an envelope."
0,mixkit-mother-and-daughter-opening-a-package-received-in-the-mail-31274.mp4,"Mother and daughter sitting on a bench, with an open mail box, as the little girl pulls a box from a video game console."
0,mixkit-canton-bus-stop-station-31085.mp4,Canton bus stop station
0,mixkit-illuminated-ferries-on-the-shang-hai-in-river-30989.mp4,Illuminated ferries on the Shang Hai in River
0,mixkit-singapore-containerport-and-cranes-30965.mp4,Singapore containerport and cranes
0,mixkit-slow-traffic-on-the-bridge-at-the-industrial-zone-30418.mp4,Slow traffic on the bridge at the industrial zone
0,mixkit-fast-travel-in-the-dubai-metro-30182.mp4,Fast travel in the Dubai metro
0,mixkit-aerial-view-of-a-rural-road-29917.mp4,Aerial view of a rural road
0,mixkit-highway-with-heavy-traffic-at-night-28667.mp4,Highway with heavy traffic at night
0,mixkit-transport-and-machinery-area-26913.mp4,Transport and machinery area
0,mixkit-sky-lifts-moving-in-the-mountain-25263.mp4,Sky lifts moving in the mountain
0,mixkit-little-girl-riding-a-scooter-through-the-street-25028.mp4,Little girl riding a scooter through the street
0,mixkit-metro-station-and-highway-traffic-in-kuala-lumpur-20186.mp4,Metro station and highway traffic in Kuala Lumpur
0,mixkit-kyoto-railway-terminal-interior-20162.mp4,Kyoto railway terminal interior
0,mixkit-a-woman-riding-her-bicycle-at-a-green-park-200.mp4,"A girl with long black hair who wearing white shorts, white tennis shoes and a pink shirt rides a bicycle through a park full of trees and grass, seen from afar."
0,mixkit-skating-through-a-city-street-16621.mp4,Skating through a city street
0,mixkit-young-woman-texting-on-her-mobile-phone-at-the-metro-13264.mp4,Young woman texting on her mobile phone at the metro station
0,mixkit-rails-close-up-12670.mp4,"Rails, close up"
0,mixkit-concrete-highway-with-traffic-time-lapse-9903.mp4,Concrete highway with traffic time lapse
0,mixkit-flying-along-mountain-highway-in-forested-valley-8605.mp4,Flying along mountain highway in forested valley
0,mixkit-an-airplane-stopping-at-the-airport-7480.mp4,An airplane stopping at the airport
0,mixkit-airplane-on-the-airport-track-in-slow-motion-7479.mp4,Airplane on the airport track in slow motion
0,mixkit-airplane-with-lights-on-is-crossing-the-sky-7382.mp4,Airplane with lights on is crossing the sky
0,mixkit-airplane-flying-in-a-gray-sky-7381.mp4,Airplane flying in a gray sky
0,mixkit-airplane-getting-ready-for-take-off-7379.mp4,Airplane getting ready for take-off
0,mixkit-cable-cars-moving-in-the-sunset-7376.mp4,Cable cars moving in the sunset
0,mixkit-airplane-landing-in-slow-motion-back-view-7147.mp4,"Airplane landing in slow motion, back view"
0,mixkit-view-of-the-countryside-from-the-train-7143.mp4,View of the countryside from the train
0,mixkit-airplane-landing-in-slow-motion-7142.mp4,Airplane landing in slow motion
0,mixkit-airplane-taking-off-in-slow-motion-7141.mp4,Airplane taking off in slow motion
0,mixkit-airplane-taking-off-on-a-sunny-day-7139.mp4,Airplane taking off on a sunny day
0,mixkit-a-private-jet-taking-off-7138.mp4,A private jet taking off
0,mixkit-airplane-landing-in-the-distance-7035.mp4,Airplane landing in the distance
0,mixkit-airplane-take-off-from-the-track-7029.mp4,Airplane take off from the track
0,mixkit-cable-cars-move-in-the-horizon-7028.mp4,Cable cars move in the horizon
0,mixkit-airplane-moving-in-slow-motion-6859.mp4,Airplane moving in slow motion
0,mixkit-airplane-taking-off-the-airport-track-6858.mp4,Airplane taking off the airport track
